date,open,high,low,close,volume,value,board
2023-03-24,0.00479,0.004865,0.00472,0.004775,1330000000,6341340,TQBR
2023-03-27,0.00476,0.0049,0.004715,0.004715,2137000000,10284030,TQBR
2023-03-28,0.004895,0.004895,0.004665,0.004725,1928000000,9139700,TQBR
2023-03-29,0.00479,0.00479,0.004655,0.0047,947000000,4459690,TQBR
2023-03-30,0.004725,0.00525,0.004725,0.00486,27622000000,136656805,TQBR
2023-03-31,0.00486,0.004935,0.004685,0.004735,4201000000,19983650,TQBR
2023-04-03,0.004745,0.00485,0.004695,0.004735,2672000000,12698520,TQBR
2023-04-04,0.004745,0.00478,0.00469,0.004715,2072000000,9808605,TQBR
2023-04-05,0.004735,0.005145,0.004735,0.004845,13302000000,65517595,TQBR
2023-04-06,0.0049,0.00543,0.00487,0.005175,24266000000,126607860,TQBR
2023-04-07,0.00525,0.0053,0.00506,0.005135,1936000000,10014915,TQBR
2023-04-10,0.00524,0.005275,0.00507,0.0052,1364000000,7066090,TQBR
2023-04-11,0.00523,0.005445,0.005,0.00506,5893000000,30888815,TQBR
2023-04-12,0.00506,0.00516,0.005005,0.005135,1193000000,6064800,TQBR
2023-04-13,0.005135,0.00521,0.00505,0.005095,1149000000,5871840,TQBR
2023-04-14,0.005115,0.005115,0.005005,0.005065,930000000,4680895,TQBR
2023-04-17,0.005035,0.005145,0.005035,0.005125,805000000,4103420,TQBR
2023-04-18,0.00512,0.005185,0.00508,0.005115,1189000000,6115505,TQBR
2023-04-19,0.005105,0.005115,0.005015,0.00505,998000000,5058490,TQBR
2023-04-20,0.005025,0.00505,0.00487,0.00498,2164000000,10702435,TQBR
2023-04-21,0.00497,0.005015,0.00493,0.00501,948000000,4720765,TQBR
2023-04-24,0.005035,0.005155,0.00493,0.005075,1207000000,6130990,TQBR
2023-04-25,0.005065,0.005085,0.00491,0.005045,1256000000,6291495,TQBR
2023-04-26,0.00509,0.005575,0.005045,0.00518,11234000000,59812740,TQBR
2023-04-27,0.00522,0.00526,0.00507,0.00511,2114000000,10818310,TQBR
2023-04-28,0.005115,0.005115,0.005005,0.00508,1571000000,7934225,TQBR
2023-05-02,0.005125,0.0053,0.00482,0.004955,7417000000,37777285,TQBR
2023-05-03,0.00496,0.00496,0.004685,0.004745,2661000000,12745765,TQBR
2023-05-04,0.004745,0.004785,0.00468,0.0047,875000000,4126360,TQBR
2023-05-05,0.0047,0.004745,0.004615,0.00468,729000000,3417785,TQBR
2023-05-08,0.00463,0.004735,0.00461,0.00468,602000000,2801600,TQBR
2023-05-10,0.004665,0.00482,0.004665,0.004765,992000000,4708715,TQBR
2023-05-11,0.00478,0.0051,0.00477,0.004845,2009000000,9837170,TQBR
2023-05-12,0.00489,0.00489,0.004515,0.00469,3086000000,14425065,TQBR
2023-05-15,0.0047,0.00501,0.00469,0.0049,5824000000,28278765,TQBR
2023-05-16,0.004905,0.00566,0.004875,0.00549,58709000000,313611920,TQBR
2023-05-17,0.00558,0.00565,0.00512,0.00513,13541000000,72596695,TQBR
2023-05-18,0.00522,0.00523,0.00503,0.005125,3963000000,20252030,TQBR
2023-05-19,0.00513,0.00523,0.00503,0.005225,3631000000,18643750,TQBR
2023-05-22,0.00523,0.005285,0.005105,0.00521,1881000000,9813005,TQBR
2023-05-23,0.0055,0.0059,0.00528,0.00534,40948000000,231164570,TQBR
2023-05-24,0.005365,0.00547,0.00521,0.00528,4388000000,23254905,TQBR
2023-05-25,0.005365,0.006105,0.005295,0.005585,44456000000,257204095,TQBR
2023-05-26,0.00541,0.005455,0.00523,0.005355,8610000000,45976365,TQBR
2023-05-29,0.005365,0.005445,0.005135,0.00519,4662000000,24487005,TQBR
2023-05-30,0.005295,0.005295,0.005105,0.005125,2694000000,13995655,TQBR
2023-05-31,0.005115,0.0052,0.00505,0.00513,1224000000,6246800,TQBR
2023-06-01,0.00515,0.005245,0.005135,0.00521,1236000000,6424540,TQBR
2023-06-02,0.005235,0.00537,0.005205,0.00529,3356000000,17767585,TQBR
2023-06-05,0.00534,0.00543,0.00515,0.0052,2506000000,13233525,TQBR
2023-06-06,0.005175,0.00526,0.005065,0.005175,1187000000,6116035,TQBR
2023-06-07,0.00529,0.00529,0.00518,0.005245,1341000000,7028295,TQBR
2023-06-08,0.00525,0.00528,0.00518,0.00521,1157000000,6017480,TQBR
2023-06-09,0.00522,0.0054,0.005175,0.005265,2657000000,14045225,TQBR
2023-06-13,0.00525,0.00557,0.00525,0.005465,5315000000,28974695,TQBR
2023-06-14,0.005495,0.005515,0.005385,0.005415,1437000000,7845215,TQBR
2023-06-15,0.005435,0.005475,0.00539,0.005395,879000000,4768870,TQBR
2023-06-16,0.00541,0.005415,0.0053,0.0054,1084000000,5806540,TQBR
2023-06-19,0.00541,0.00545,0.005345,0.005405,957000000,5161870,TQBR
2023-06-20,0.00548,0.00548,0.005265,0.0054,1800000000,9641620,TQBR
2023-06-21,0.005415,0.00545,0.00537,0.005425,917000000,4959130,TQBR
2023-06-22,0.005445,0.005445,0.00534,0.0054,773000000,4162670,TQBR
2023-06-23,0.005395,0.005395,0.00528,0.005295,698000000,3712090,TQBR
2023-06-26,0.00525,0.00531,0.005085,0.00529,874000000,4586165,TQBR
2023-06-27,0.005345,0.005345,0.005245,0.005285,485000000,2560005,TQBR
2023-06-28,0.00527,0.00533,0.00526,0.005285,361000000,1910420,TQBR
2023-06-29,0.005285,0.00534,0.005265,0.005305,563000000,2983610,TQBR
2023-06-30,0.00531,0.005315,0.00526,0.005275,332000000,1755000,TQBR
2023-07-03,0.005305,0.005475,0.00526,0.00534,1982000000,10630685,TQBR
2023-07-04,0.005345,0.00555,0.0053,0.005475,1485000000,8085135,TQBR
2023-07-05,0.00554,0.00554,0.00535,0.005435,1839000000,9980095,TQBR
2023-07-06,0.00548,0.005555,0.0052,0.00527,4946000000,26367975,TQBR
2023-07-07,0.00527,0.00527,0.004955,0.00506,7209000000,36546475,TQBR
2023-07-10,0.00508,0.005145,0.00492,0.00496,4199000000,21010510,TQBR
2023-07-11,0.005005,0.005005,0.004905,0.004935,2536000000,12527410,TQBR
2023-07-12,0.00497,0.0051,0.004925,0.0051,2860000000,14321480,TQBR
2023-07-13,0.00514,0.00514,0.00501,0.00506,1514000000,7662180,TQBR
2023-07-14,0.00508,0.005345,0.005015,0.005205,9177000000,47709455,TQBR
2023-07-17,0.005205,0.00604,0.005205,0.00576,49916000000,283906145,TQBR
2023-07-18,0.00585,0.0101,0.00579,0.0092,259635000000,2165310640,TQBR
2023-07-19,0.00923,0.00994,0.008015,0.00834,54801000000,473391195,TQBR
2023-07-20,0.00834,0.00834,0.007645,0.007845,12964000000,102404105,TQBR
2023-07-21,0.00786,0.0095,0.00785,0.00875,82206000000,731467605,TQBR
2023-07-24,0.008975,0.00991,0.008815,0.009,31100000000,288425910,TQBR
2023-07-25,0.009085,0.00912,0.00875,0.00875,7869000000,69779925,TQBR
2023-07-26,0.00889,0.00889,0.00848,0.008655,4759000000,41110450,TQBR
2023-07-27,0.008685,0.008685,0.008225,0.00844,5804000000,48934710,TQBR
2023-07-28,0.008515,0.009185,0.00832,0.00885,17511000000,154383455,TQBR
2023-07-31,0.00885,0.00911,0.008565,0.008905,4791000000,42326965,TQBR
2023-08-01,0.008925,0.008975,0.008625,0.0088,3529000000,31114380,TQBR
2023-08-02,0.0089,0.01097,0.008835,0.01076,39265000000,382693535,TQBR
2023-08-03,0.0111,0.01138,0.01016,0.0106,25010000000,270059245,TQBR
2023-08-04,0.010685,0.01227,0.01001,0.01075,36907000000,423009210,TQBR
2023-08-07,0.010845,0.012,0.010405,0.01138,20752000000,237761560,TQBR
2023-08-08,0.011485,0.015835,0.011065,0.01529,124021000000,1792149910,TQBR
2023-08-09,0.015585,0.017325,0.014505,0.014975,81421000000,1306059115,TQBR
2023-08-10,0.015835,0.016195,0.01323,0.01428,25063000000,365209240,TQBR
2023-08-11,0.0143,0.01515,0.013905,0.01431,8145000000,118217990,TQBR
2023-08-14,0.0147,0.0147,0.013365,0.01364,9518000000,133449855,TQBR
2023-08-15,0.01302,0.014255,0.01253,0.0133,9449000000,128448700,TQBR
2023-08-16,0.01355,0.013775,0.012,0.012965,11338000000,143836800,TQBR
2023-08-17,0.01302,0.013285,0.0124,0.01313,3672000000,47207470,TQBR
2023-08-18,0.01313,0.01435,0.01313,0.013665,10975000000,152167910,TQBR
2023-08-21,0.0141,0.0141,0.0135,0.01369,2812000000,38462215,TQBR
2023-08-22,0.01369,0.01388,0.013085,0.01328,2925000000,39501765,TQBR
2023-08-23,0.013365,0.01355,0.0126,0.01312,2957000000,38890200,TQBR
2023-08-24,0.01265,0.014,0.01265,0.01359,7801000000,105853295,TQBR
2023-08-25,0.01364,0.01461,0.01364,0.013685,12054000000,170742295,TQBR
2023-08-28,0.013965,0.013965,0.01344,0.0137,5453000000,74995150,TQBR
2023-08-29,0.01372,0.014555,0.0133,0.013835,13458000000,188914805,TQBR
2023-08-30,0.014025,0.01415,0.01362,0.01394,4578000000,63900620,TQBR
2023-08-31,0.01405,0.01505,0.01405,0.01433,17637000000,255785780,TQBR
2023-09-01,0.0147,0.01475,0.01391,0.01401,3557000000,50506770,TQBR
2023-09-04,0.01421,0.01446,0.014005,0.01438,4951000000,70645065,TQBR
2023-09-05,0.014545,0.01625,0.014445,0.01463,40706000000,632462015,TQBR
2023-09-06,0.01473,0.015175,0.014415,0.01448,5767000000,85085960,TQBR
2023-09-07,0.01474,0.01485,0.0134,0.01434,7443000000,105731770,TQBR
2023-09-08,0.01445,0.01445,0.013645,0.013925,2750000000,38379940,TQBR
2023-09-11,0.01393,0.01462,0.01374,0.01409,5040000000,71766885,TQBR
2023-09-12,0.01419,0.0147,0.01355,0.014135,6043000000,85946480,TQBR
2023-09-13,0.01445,0.015135,0.01408,0.01464,11116000000,163530940,TQBR
2023-09-14,0.01466,0.01484,0.00971,0.01293,16598000000,206827525,TQBR
2023-09-15,0.01293,0.013355,0.012055,0.013255,3568000000,46211770,TQBR
2023-09-18,0.0133,0.014595,0.013035,0.013535,10517000000,147183500,TQBR
2023-09-19,0.01346,0.01353,0.01211,0.012775,5127000000,65377475,TQBR
2023-09-20,0.012545,0.01262,0.010995,0.01185,8457000000,99336770,TQBR
2023-09-21,0.0115,0.01195,0.01113,0.011205,3061000000,35291770,TQBR
2023-09-22,0.011,0.011745,0.010755,0.01157,2935000000,32940780,TQBR
2023-09-25,0.011255,0.012405,0.01123,0.011965,3310000000,39475355,TQBR
2023-09-26,0.012145,0.0133,0.01198,0.01232,15701000000,200947995,TQBR
2023-09-27,0.01242,0.0126,0.01209,0.01229,2347000000,28866830,TQBR
2023-09-28,0.0124,0.01241,0.011765,0.01209,2274000000,27706440,TQBR
2023-09-29,0.01209,0.01209,0.01157,0.01185,1821000000,21639930,TQBR
2023-10-02,0.01197,0.01228,0.0117,0.0117,2380000000,28625500,TQBR
2023-10-03,0.0116,0.011785,0.011045,0.01115,4095000000,46158920,TQBR
2023-10-04,0.0112,0.011435,0.0111,0.011185,1818000000,20439650,TQBR
2023-10-05,0.011185,0.011215,0.01075,0.01088,1710000000,18821220,TQBR
2023-10-06,0.01088,0.01088,0.010575,0.01075,1478000000,15796465,TQBR
2023-10-09,0.01075,0.01169,0.01075,0.011155,6278000000,70965050,TQBR
2023-10-10,0.011385,0.01148,0.010785,0.01098,2262000000,24980995,TQBR
2023-10-11,0.010955,0.01185,0.01091,0.0114,8762000000,100382240,TQBR
2023-10-12,0.01122,0.01241,0.01114,0.01196,12883000000,154298870,TQBR
2023-10-13,0.012005,0.01228,0.011605,0.01179,4537000000,53726295,TQBR
2023-10-16,0.0115,0.01218,0.0115,0.0119,2868000000,34238165,TQBR
2023-10-17,0.011925,0.01202,0.01167,0.011845,1580000000,18741540,TQBR
2023-10-18,0.011865,0.01201,0.0115,0.011605,2124000000,24919900,TQBR
2023-10-19,0.011605,0.01179,0.0115,0.01169,1138000000,13237945,TQBR
2023-10-20,0.011725,0.011785,0.011525,0.0117,822000000,9567440,TQBR
2023-10-23,0.011675,0.011965,0.011595,0.011805,1613000000,19002665,TQBR
2023-10-24,0.01192,0.012125,0.011705,0.011855,2023000000,24010940,TQBR
2023-10-25,0.0119,0.01444,0.0119,0.014035,31616000000,426164910,TQBR
2023-10-26,0.013995,0.014175,0.012675,0.012675,13520000000,179210605,TQBR
2023-10-27,0.012925,0.01392,0.01268,0.01286,11900000000,157727865,TQBR
2023-10-30,0.0131,0.01338,0.01277,0.01293,3732000000,48867705,TQBR
2023-10-31,0.0129,0.01295,0.0122,0.012405,3333000000,41826200,TQBR
2023-11-01,0.0123,0.012885,0.01224,0.012585,2358000000,29648395,TQBR
2023-11-02,0.01266,0.01284,0.01236,0.012395,1789000000,22503370,TQBR
2023-11-03,0.012575,0.012705,0.012075,0.012175,1231000000,15234830,TQBR
2023-11-06,0.012235,0.01278,0.012185,0.012485,2035000000,25541585,TQBR
2023-11-07,0.012525,0.012675,0.01191,0.012245,2123000000,25919260,TQBR
2023-11-08,0.012365,0.01238,0.011935,0.01217,1303000000,15747180,TQBR
2023-11-09,0.012135,0.01257,0.012005,0.01209,2395000000,29380180,TQBR
2023-11-10,0.011985,0.012225,0.01167,0.011745,1617000000,19254050,TQBR
2023-11-13,0.011885,0.011885,0.01101,0.011035,2468000000,27761495,TQBR
2023-11-14,0.011035,0.01113,0.00971,0.010045,5451000000,54789175,TQBR
2023-11-15,0.00997,0.01197,0.009755,0.0112,9901000000,110597815,TQBR
2023-11-16,0.01125,0.0122,0.010945,0.0115,7567000000,89288905,TQBR
2023-11-17,0.0115,0.01265,0.011205,0.01227,13306000000,161495560,TQBR
2023-11-20,0.01204,0.01265,0.012,0.012205,5716000000,70675650,TQBR
2023-11-21,0.012375,0.012375,0.011795,0.01197,2224000000,26802690,TQBR
2023-11-22,0.01204,0.012315,0.012,0.012105,1677000000,20442945,TQBR
2023-11-23,0.012295,0.012295,0.01184,0.011885,1298000000,15586995,TQBR
2023-11-24,0.011885,0.01197,0.011525,0.011665,883000000,10328900,TQBR
2023-11-27,0.01167,0.012295,0.010735,0.01125,4034000000,45849810,TQBR
2023-11-28,0.011515,0.01199,0.01133,0.011515,4575000000,53456430,TQBR
2023-11-29,0.0115,0.011775,0.011375,0.01144,1337000000,15507815,TQBR
2023-11-30,0.01144,0.01161,0.01113,0.01151,1338000000,15231185,TQBR
2023-12-01,0.01152,0.012,0.011265,0.01129,1254000000,14585700,TQBR
2023-12-04,0.011285,0.011405,0.010805,0.01094,1391000000,15339470,TQBR
2023-12-05,0.011135,0.011185,0.010075,0.010795,2285000000,24161750,TQBR
2023-12-06,0.0111,0.0111,0.01033,0.0105,3143000000,33612415,TQBR
2023-12-07,0.01062,0.01062,0.0099,0.010375,2269000000,22981085,TQBR
2023-12-08,0.01046,0.010615,0.010205,0.0106,774000000,8077460,TQBR
2023-12-11,0.010375,0.010585,0.00957,0.00968,4619000000,45673795,TQBR
2023-12-12,0.00953,0.00988,0.009255,0.00965,3173000000,30292510,TQBR
2023-12-13,0.009615,0.010085,0.00941,0.009645,1753000000,17166260,TQBR
2023-12-14,0.0097,0.01008,0.00958,0.009705,1323000000,13014325,TQBR
2023-12-15,0.00923,0.009955,0.00923,0.00985,1129000000,10992005,TQBR
2023-12-18,0.009855,0.0106,0.00984,0.01035,3152000000,32196440,TQBR
2023-12-19,0.01041,0.011115,0.01027,0.01057,2964000000,31860725,TQBR
2023-12-20,0.010895,0.01094,0.010305,0.010795,1815000000,19479685,TQBR
2023-12-21,0.01078,0.0109,0.009905,0.010375,6517000000,66611050,TQBR
2023-12-22,0.010375,0.0105,0.01015,0.01021,2192000000,22642525,TQBR
2023-12-25,0.01025,0.010315,0.00995,0.009995,2227000000,22405445,TQBR
2023-12-26,0.010015,0.010685,0.0098,0.01003,9478000000,97792225,TQBR
2023-12-27,0.010075,0.010285,0.00985,0.01001,2704000000,27237230,TQBR
2023-12-28,0.01034,0.01039,0.00985,0.00988,2902000000,29167165,TQBR
2023-12-29,0.009995,0.01006,0.00972,0.00984,1488000000,14619020,TQBR
2024-01-03,0.00984,0.01013,0.009725,0.01001,1294000000,12895055,TQBR
2024-01-04,0.01014,0.01019,0.00998,0.010185,1166000000,11737465,TQBR
2024-01-05,0.01029,0.01102,0.010205,0.01073,6675000000,71151570,TQBR
2024-01-08,0.0108,0.01094,0.0106,0.010745,2257000000,24307135,TQBR
2024-01-09,0.01082,0.01082,0.01057,0.010805,1361000000,14557615,TQBR
2024-01-10,0.010855,0.01216,0.01085,0.01148,14258000000,164603240,TQBR
2024-01-11,0.01148,0.01355,0.01125,0.012785,27840000000,352777310,TQBR
2024-01-12,0.01283,0.014165,0.01283,0.0137,23657000000,322233985,TQBR
2024-01-15,0.013885,0.01576,0.0138,0.015045,38283000000,573582685,TQBR
2024-01-16,0.0153,0.0161,0.01395,0.01417,26560000000,397645630,TQBR
2024-01-17,0.0142,0.01478,0.01408,0.014245,8257000000,119224515,TQBR
2024-01-18,0.0143,0.01445,0.01385,0.013905,4401000000,61794680,TQBR
2024-01-19,0.013985,0.01401,0.0137,0.01371,2413000000,33269140,TQBR
2024-01-22,0.013995,0.01458,0.01379,0.014335,9106000000,129972025,TQBR
2024-01-23,0.0145,0.01539,0.01435,0.0147,16350000000,244915915,TQBR
2024-01-24,0.014705,0.015265,0.014205,0.0146,7418000000,109625105,TQBR
2024-01-25,0.0148,0.014825,0.014005,0.01424,3110000000,44214620,TQBR
2024-01-26,0.01425,0.014425,0.0136,0.01375,3501000000,48793140,TQBR
2024-01-29,0.01375,0.014185,0.01363,0.013955,2971000000,41254490,TQBR
2024-01-30,0.013955,0.01403,0.0137,0.01383,1368000000,18909380,TQBR
2024-01-31,0.01382,0.013935,0.01351,0.013625,2508000000,34316205,TQBR
2024-02-01,0.013635,0.0138,0.0131,0.0133,3317000000,44266090,TQBR
2024-02-02,0.01336,0.01384,0.013305,0.01341,2856000000,38633395,TQBR
2024-02-05,0.013615,0.013985,0.01348,0.01377,4196000000,57857615,TQBR
2024-02-06,0.01378,0.014205,0.013645,0.013855,3553000000,49444775,TQBR
2024-02-07,0.01391,0.014,0.013685,0.013815,1233000000,17048835,TQBR
2024-02-08,0.01375,0.013875,0.013285,0.013425,1843000000,24949935,TQBR
2024-02-09,0.0134,0.013565,0.0132,0.013245,1148000000,15349820,TQBR
2024-02-12,0.013245,0.013355,0.013,0.013155,1454000000,19073060,TQBR
2024-02-13,0.013155,0.013665,0.013155,0.013585,2208000000,29773735,TQBR
2024-02-14,0.013795,0.013795,0.013215,0.01335,943000000,12696085,TQBR
2024-02-15,0.01335,0.014185,0.013185,0.01386,4821000000,66431390,TQBR
2024-02-16,0.014045,0.014115,0.013315,0.01337,2277000000,31017340,TQBR
2024-02-19,0.0135,0.01369,0.013125,0.013195,1367000000,18325105,TQBR
2024-02-20,0.013275,0.0134,0.01283,0.012955,1799000000,23507025,TQBR
2024-02-21,0.012855,0.012855,0.011945,0.01257,4808000000,59617720,TQBR
2024-02-22,0.012795,0.012855,0.01228,0.01258,1926000000,24311670,TQBR
2024-02-26,0.01261,0.01297,0.012585,0.01271,1150000000,14776035,TQBR
2024-02-27,0.013,0.014305,0.013,0.0135,22300000000,305177715,TQBR
2024-02-28,0.0135,0.013555,0.012925,0.0131,3604000000,47362800,TQBR
2024-02-29,0.0131,0.01358,0.012875,0.01304,2526000000,33204860,TQBR
2024-03-01,0.01294,0.01323,0.012895,0.012965,1054000000,13766610,TQBR
2024-03-04,0.01305,0.013255,0.013025,0.01316,720000000,9445625,TQBR
2024-03-05,0.01316,0.013215,0.012935,0.013065,491000000,6413820,TQBR
2024-03-06,0.013,0.013095,0.01292,0.013055,439000000,5704620,TQBR
2024-03-07,0.01325,0.01325,0.0127,0.012905,916000000,11809955,TQBR
2024-03-11,0.012905,0.013145,0.012775,0.01291,782000000,10160710,TQBR
2024-03-12,0.013,0.013,0.01267,0.012765,972000000,12419180,TQBR
2024-03-13,0.01288,0.01315,0.01267,0.012835,1267000000,16302070,TQBR
2024-03-14,0.012805,0.012845,0.01258,0.0126,810000000,10241690,TQBR
2024-03-15,0.01266,0.01285,0.012505,0.01266,492000000,6213760,TQBR
2024-03-18,0.01275,0.012865,0.01251,0.0126,569000000,7190335,TQBR
2024-03-19,0.012675,0.0129,0.012235,0.012355,1276000000,16053655,TQBR
2024-03-20,0.01242,0.012455,0.01205,0.01212,551000000,6745060,TQBR
2024-03-21,0.012175,0.01423,0.012175,0.01406,28520000000,385042030,TQBR
2024-03-22,0.014125,0.01557,0.01364,0.013695,46001000000,679906295,TQBR
2024-03-25,0.013695,0.014345,0.01345,0.01385,18594000000,259129080,TQBR
2024-03-26,0.01403,0.014325,0.013625,0.01379,9043000000,125563520,TQBR
2024-03-27,0.01387,0.01478,0.01321,0.013235,19236000000,272161420,TQBR
2024-03-28,0.013235,0.01376,0.013015,0.01311,4798000000,63908560,TQBR
2024-03-29,0.01343,0.01343,0.0129,0.0131,1716000000,22364275,TQBR
2024-04-01,0.01319,0.014075,0.012915,0.01343,15159000000,204473865,TQBR
2024-04-02,0.01364,0.013725,0.0132,0.01359,6493000000,87316925,TQBR
2024-04-03,0.013465,0.01369,0.01321,0.0133,5961000000,79801395,TQBR
2024-04-04,0.013395,0.013485,0.013105,0.0132,2896000000,38441570,TQBR
2024-04-05,0.013125,0.013265,0.01301,0.013065,1504000000,19745905,TQBR
2024-04-08,0.01306,0.01325,0.013055,0.01321,2721000000,35798250,TQBR
2024-04-09,0.013315,0.013375,0.0131,0.01315,1722000000,22775905,TQBR
2024-04-10,0.01315,0.014935,0.01312,0.0141,31044000000,439050135,TQBR
2024-04-11,0.01415,0.01487,0.01367,0.013685,6480000000,91501115,TQBR
2024-04-12,0.01375,0.01388,0.0134,0.013725,2541000000,34590800,TQBR
2024-04-15,0.013615,0.0142,0.013425,0.0138,3189000000,44440700,TQBR
2024-04-16,0.01383,0.013995,0.0136,0.01364,1122000000,15407235,TQBR
2024-04-17,0.01384,0.014615,0.01365,0.01396,4375000000,61905320,TQBR
2024-04-18,0.013965,0.014445,0.01392,0.01436,2749000000,39021900,TQBR
2024-04-19,0.01436,0.014445,0.013925,0.014195,2134000000,30206750,TQBR
2024-04-22,0.01428,0.014385,0.01397,0.014,1601000000,22625855,TQBR
2024-04-23,0.0141,0.014445,0.013785,0.0138,2593000000,36402815,TQBR
2024-04-24,0.013885,0.014245,0.01351,0.01372,4032000000,56032735,TQBR
2024-04-25,0.013825,0.01395,0.01361,0.01365,1394000000,19229815,TQBR
2024-04-26,0.01369,0.01387,0.013605,0.01371,1027000000,14102180,TQBR
2024-04-27,0.013745,0.01399,0.0136,0.01371,648000000,8922010,TQBR
2024-04-29,0.01382,0.013875,0.01362,0.01367,482000000,6620595,TQBR
2024-04-30,0.013665,0.01455,0.01366,0.01404,5568000000,78717385,TQBR
2024-05-02,0.01388,0.014145,0.01323,0.013505,4606000000,63074215,TQBR
2024-05-03,0.013505,0.013515,0.01327,0.01327,825000000,11025285,TQBR
2024-05-06,0.01334,0.013615,0.01315,0.01335,3908000000,52138420,TQBR
2024-05-07,0.013425,0.014355,0.01335,0.0135,19902000000,275994025,TQBR
2024-05-08,0.01353,0.01365,0.013255,0.01329,3578000000,47999545,TQBR
2024-05-10,0.013255,0.013405,0.013205,0.013205,768000000,10198030,TQBR
2024-05-13,0.013295,0.01396,0.01321,0.01341,5320000000,72229925,TQBR
2024-05-14,0.01343,0.013665,0.01327,0.01335,1467000000,19699165,TQBR
2024-05-15,0.0135,0.0135,0.01322,0.013255,894000000,11885605,TQBR
2024-05-16,0.013295,0.01335,0.013205,0.01321,631000000,8358000,TQBR
2024-05-17,0.01328,0.013695,0.01319,0.01323,2859000000,38362230,TQBR
2024-05-20,0.01323,0.0136,0.012915,0.01296,4163000000,55094450,TQBR
2024-05-21,0.01294,0.01308,0.0124,0.0125,3400000000,43019415,TQBR
2024-05-22,0.0125,0.012895,0.0125,0.01266,701000000,8864690,TQBR
2024-05-23,0.01266,0.012815,0.01242,0.012445,1423000000,17859365,TQBR
2024-05-24,0.01245,0.012535,0.0116,0.01184,2007000000,24102050,TQBR
2024-05-27,0.011995,0.011995,0.01088,0.010915,3340000000,37591195,TQBR
2024-05-28,0.011025,0.01186,0.010965,0.011395,3925000000,45153230,TQBR
2024-05-29,0.0114,0.011865,0.01095,0.01135,1963000000,22048785,TQBR
2024-05-30,0.011485,0.012745,0.011365,0.01204,4008000000,48223880,TQBR
2024-05-31,0.01202,0.012055,0.01108,0.01116,2309000000,26265875,TQBR
2024-06-03,0.01108,0.01245,0.010315,0.011025,10095000000,115374190,TQBR
2024-06-04,0.011295,0.01164,0.010775,0.011265,2636000000,29607510,TQBR
2024-06-05,0.01128,0.01189,0.0112,0.0113,1392000000,16006320,TQBR
2024-06-06,0.011475,0.011515,0.01107,0.01116,525000000,5897800,TQBR
2024-06-07,0.01116,0.011925,0.011125,0.01147,1620000000,18684810,TQBR
2024-06-10,0.011555,0.01239,0.011555,0.0118,3257000000,39037140,TQBR
2024-06-11,0.011855,0.0125,0.01167,0.01201,4057000000,49461385,TQBR
2024-06-13,0.01123,0.01195,0.01085,0.011815,2700000000,31349470,TQBR
2024-06-14,0.0119,0.01215,0.01181,0.012015,813000000,9716385,TQBR
2024-06-17,0.012025,0.01236,0.0118,0.011805,819000000,9838020,TQBR
2024-06-18,0.012015,0.012015,0.01133,0.011405,1334000000,15320675,TQBR
2024-06-19,0.01149,0.01149,0.010895,0.01096,885000000,9835405,TQBR
2024-06-20,0.011025,0.011395,0.010985,0.01131,950000000,10675500,TQBR
2024-06-21,0.011305,0.01148,0.0111,0.011275,424000000,4793340,TQBR
2024-06-24,0.01124,0.01134,0.011025,0.011105,219000000,2438745,TQBR
2024-06-25,0.01108,0.011475,0.010765,0.011285,957000000,10581745,TQBR
2024-06-26,0.011145,0.011485,0.011145,0.01121,373000000,4216330,TQBR
2024-06-27,0.01132,0.01145,0.01104,0.01114,720000000,8047375,TQBR
2024-06-28,0.011195,0.01147,0.01106,0.011065,1189000000,13367110,TQBR
2024-07-01,0.011125,0.01123,0.011085,0.0111,575000000,6409320,TQBR
2024-07-02,0.011145,0.011625,0.01109,0.01158,1347000000,15365495,TQBR
2024-07-03,0.01165,0.01179,0.01133,0.01143,1308000000,15006135,TQBR
2024-07-04,0.01138,0.011475,0.0112,0.01122,1190000000,13421720,TQBR
2024-07-05,0.011165,0.0112,0.011015,0.011105,1378000000,15338665,TQBR
2024-07-08,0.011085,0.01134,0.010065,0.010685,1154000000,12627510,TQBR
2024-07-09,0.01046,0.01061,0.0097,0.00978,2921000000,29957685,TQBR
2024-07-10,0.0098,0.00999,0.009405,0.00945,1770000000,17163970,TQBR
2024-07-11,0.00935,0.01048,0.009345,0.0103,1353000000,13664270,TQBR
2024-07-12,0.010185,0.01065,0.010045,0.01008,351000000,3620875,TQBR
2024-07-15,0.01019,0.010795,0.010105,0.010205,1609000000,16863230,TQBR
2024-07-16,0.01026,0.010395,0.009885,0.01023,857000000,8652785,TQBR
2024-07-17,0.010235,0.01086,0.010235,0.010355,889000000,9400560,TQBR
2024-07-18,0.01087,0.011165,0.01038,0.01096,1407000000,15250775,TQBR
2024-07-19,0.011185,0.01168,0.01101,0.011475,1829000000,20923990,TQBR
2024-07-22,0.011605,0.0125,0.0114,0.01158,4652000000,55763585,TQBR
2024-07-23,0.01162,0.01164,0.01102,0.01122,3091000000,34856510,TQBR
2024-07-24,0.01119,0.0113,0.011105,0.0113,1002000000,11215045,TQBR
2024-07-25,0.011165,0.011315,0.011145,0.01122,498000000,5596430,TQBR
2024-07-26,0.011295,0.01148,0.01082,0.011055,1238000000,13794090,TQBR
